catchment_name,total_spill_hours,num_overflow_sites,total_contract_value_gbp,num_contracts,value_per_spill_hour,status
UNNAMED TRIBUTARY OF BALCOMBE LAKE,0.57,1,0,0,0.0,None
UNNAMED TRIBUTARY OF GLYNLEIGH LEVELS,8.23,1,0,0,0.0,None
UNNAMED TRIBUTARY OF HOLDEN BROOK,42.47,1,0,0,0.0,None
UNNAMED TRIBUTARY OF TENTERDEN SEWER,0.29,1,0,0,0.0,None
UNNAMED TRIBUTARY OF THE HAMMER STREAM,0.37,1,0,0,0.0,None
UNNAMED TRIBUTARY OF WARBLETON STREAM,0.48,1,0,0,0.0,None
UNNAMED WATERCOURSE,2.22,1,0,0,0.0,None
WALDRON GHYLL,2.6,2,0,0,0.0,None
WALLERS HAVEN,33.14,3,0,0,0.0,None
WALLINGTON,82.66,11,0,0,0.0,None
WALLOP BROOK,0.71,1,0,0,0.0,None
WANNOCK MILL STREAM,0.37,2,0,0,0.0,None
WARREN BAY DRAIN,0.55,1,0,0,0.0,None
WATERMILL STREAM,1.47,1,0,0,0.0,None
WEY,43.94,1,0,0,0.0,None
WHITEWALL CREEK,22.52,1,0,0,0.0,None
WILDERN STREAM,0.04,1,0,0,0.0,None
WILLINGDON SEWER,20.47,3,0,0,0.0,None
WINGHAM RIVER,2.16,1,0,0,0.0,None
WOOTTON CREEK,3.68,4,0,0,0.0,None
WORKHOUSE LAKE OF PORTSMOUTH HARBOUR,27.85,3,0,0,0.0,None
YAR,101.43,16,0,0,0.0,None
